"","domain","phylum","class","order","family","genus","species"
"ASV1","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria alternata"
"ASV3","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Epicoccum","Epicoccum sorghi"
"ASV16","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Fusarium avenaceum"
"ASV17","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Davidiella","Davidiella_tassiana|SH196750.06FU"
"ASV23","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Ascomycota_sp|SH217298.06FU"
"ASV49","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Setosphaeria","Exserohilum rostratum"
"ASV66","Fungi","Ascomycota","Sordariomycetes","Sordariales","","",""
"ASV67","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Davidiella","Davidiella macrospora"
"ASV68","Fungi","Ascomycota","Sordariomycetes","Trichosphaeriales","Trichosphaeriales_Incertae sedis","Sordariomycetes_unidentified_1","Sordariomycetes_sp|SH237076.06FU"
"ASV71","Fungi","Ascomycota","Sordariomycetes","","","",""
"ASV77","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_Incertae sedis","Phoma","Phoma paspali"
"ASV79","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Pezizaceae_unidentified",""
"ASV82","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",""
"ASV83","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","Sphaerulina_pseudovirgaureae|SH212655.06FU"
"ASV89","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Kabatiella","Ascomycota_sp|SH219194.06FU"
"ASV94","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Bionectria","Bionectria epichloe"
"ASV100","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Pleosporales_unidentified_1","Pleosporales_sp|SH206992.06FU"
"ASV104","Fungi","","","","","",""
"ASV105","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus magnus"
"ASV112","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Fusarium equiseti"
"ASV113","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Claviceps","Claviceps pusilla"
"ASV125","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella",""
"ASV129","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Phaeosphaeria phragmitis"
"ASV131","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae_sedis_13","Letendraea","Letendraea_sp|SH203350.06FU"
"ASV136","Fungi","Zygomycota","Mucoromycotina_Incertae sedis","Mortierellales","Mortierellaceae","Mortierella","Mortierella alpina"
"ASV139","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Pachyphloeus","Pachyphloeus_sp|SH226680.06FU"
"ASV141","Fungi","Ascomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Thanatephorus","Thanatephorus_cucumeris|SH235414.06FU"
"ASV142","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria",""
"ASV144","Fungi","Basidiomycota","Agaricomycetes","","","",""
"ASV156","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus chernovii"
"ASV159","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Gibberella","Fusarium equiseti"
"ASV163","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolales_Incertae sedis","Sporobolomyces","Sporobolomyces vermiculatus"
"ASV167","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeriopsis","Phaeosphaeria oryzae"
"ASV169","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Humicola","Humicola fuscoatra"
"ASV172","Fungi","Ascomycota","Sordariomycetes","Sordariomycetidae_Incertae sedis","Glomerellaceae","Glomerella","Colletotrichum coccodes"
"ASV176","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","Pleosporaceae_sp|SH224818.06FU"
"ASV181","Fungi","Ascomycota","Sordariomycetes","Hypocreales","","",""
"ASV184","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_unidentified","Pleosporales_unidentified_1","Pleosporales_sp|SH238736.06FU"
"ASV185","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Neostagonospora","Neostagonospora_elegiae|SH206982.06FU"
"ASV193","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora","Podospora intestinacea"
"ASV194","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium","Ceratobasidium_sp_JTO092|SH224054.06FU"
"ASV197","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Sclerostagonospora","Sclerostagonospora sp CBS 118152"
"ASV198","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeriopsis","Phaeosphaeria oryzae"
"ASV204","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium","Ceratobasidium sp AG_Bo"
"ASV225","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Cochliobolus","Bipolaris spicifera"
"ASV228","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_unidentified","Pleosporales_unidentified_1","Pleosporales_sp|SH231238.06FU"
"ASV231","Fungi","Chytridiomycota","","","","",""
"ASV237","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Lewia","Alternaria_metachromatica|SH224792.06FU"
"ASV238","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinopsis",""
"ASV242","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_Incertae sedis","Myrothecium","Myrothecium leucotrichum"
"ASV248","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Bionectria","Bionectria epichloe"
"ASV254","Fungi","Ascomycota","Pezizomycetes","Pezizales","Tuberaceae","Tuber","Tuber mexiusanum"
"ASV255","Fungi","Ascomycota","","","","",""
"ASV258","Fungi","","","","","",""
"ASV260","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_unidentified","Pleosporales_unidentified_1","Pleosporales_sp|SH223798.06FU"
"ASV262","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis",""
"ASV263","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","Rhizophlyctis_rosea|SH205068.06FU"
"ASV265","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora","Podospora tetraspora"
"ASV270","Fungi","","","","","",""
"ASV271","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae_sedis_16","Wojnowicia","Wojnowicia_viburni|SH207003.06FU"
"ASV272","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Sporisorium",""
"ASV273","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeriopsis","Phaeosphaeria oryzae"
"ASV280","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Articulospora","Articulospora_sp|SH191098.06FU"
"ASV282","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolales_Incertae sedis","Sporobolomyces","Sporobolomyces gracilis"
"ASV283","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","",""
"ASV286","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeriopsis","Phaeosphaeria oryzae"
"ASV293","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Filobasidium","Filobasidium floriforme"
"ASV300","Fungi","Ascomycota","Sordariomycetes","Xylariales","","",""
"ASV301","Fungi","Ascomycota","Sordariomycetes","Trichosphaeriales","Trichosphaeriales_Incertae sedis","Nigrospora","Nigrospora sphaerica"
"ASV303","Fungi","Ascomycota","Sordariomycetes","","","",""
"ASV304","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeriopsis","Phaeosphaeria oryzae"
"ASV306","Fungi","","","","","",""
"ASV309","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","Rhizophlyctis_rosea|SH229691.06FU"
"ASV314","Fungi","Ascomycota","Dothideomycetes","Ascomycota_unidentified_1","Ascomycota_unidentified_1","Ascomycota_unidentified_1_1","Ascomycota_sp|SH231237.06FU"
"ASV316","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia terricola"
"ASV328","Fungi","Ascomycota","Sordariomycetes","Trichosphaeriales","Trichosphaeriales_Incertae sedis","Incertae_sedis_26_unidentified",""
"ASV333","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae_sedis_16","Wojnowicia","Wojnowicia_viburni|SH207003.06FU"
"ASV338","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_Incertae sedis","Letendraea","Letendraea helminthicola"
"ASV343","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Phaeosphaeria_sp|SH207014.06FU"
"ASV345","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Peziza",""
"ASV351","Fungi","Ascomycota","Sordariomycetes","Xylariales","","",""
"ASV352","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolales_Incertae sedis","Sporobolomyces","Sporobolomyces vermiculatus"
"ASV365","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Aspergillus","Aspergillus awamori"
"ASV369","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_unidentified","Pleosporales_unidentified_1",""
"ASV370","Fungi","Ascomycota","Sordariomycetes","Trichosphaeriales","Trichosphaeriales_Incertae sedis","Khuskia","Nigrospora oryzae"
"ASV375","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora","Podospora intestinacea"
"ASV376","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","Alternaria_sp|SH240080.06FU"
"ASV377","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_unidentified","Hypocreales_unidentified_1",""
"ASV383","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Sporormiaceae_sp|SH190469.06FU"
"ASV386","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Kabatiella","Aureobasidium_pullulans|SH206629.06FU"
"ASV393","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dothideomycetes_unidentified_1","Dothideomycetes_unidentified_1","Dothideomycetes_sp|SH196053.06FU"
"ASV399","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Truncatella","Truncatella angustata"
"ASV400","Fungi","Fungi_unidentified","Fungi_unidentified_1","Fungi_unidentified_1","Fungi_unidentified_1_1","Fungi_unidentified_1_1",""
"ASV405","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_Incertae sedis","Dothideomycetes_unidentified_1","Dothideomycetes_sp|SH240074.06FU"
"ASV406","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","",""
"ASV407","Fungi","Ascomycota","","","","",""
"ASV410","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Paraphoma","Paraphoma chrysanthemicola"
"ASV422","Fungi","Ascomycota","Sordariomycetes","","","",""
"ASV427","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",""
"ASV429","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Bionectriaceae","Hydropisphaera",""
"ASV433","Fungi","Ascomycota","Sordariomycetes","Xylariales","","",""
"ASV442","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_unidentified","Hypocreales_unidentified_1","Hypocreales_sp|SH195615.06FU"
"ASV448","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Clitocybe",""
"ASV464","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia",""
"ASV473","Fungi","Basidiomycota","Tremellomycetes","Tremellales","","",""
"ASV482","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeria","Phaeosphaeria_sp|SH207014.06FU"
"ASV487","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiales_unidentified","Helotiales_unidentified_1","Helotiales_sp|SH191096.06FU"
"ASV495","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Botryosphaeriaceae","Botryosphaeria","Fusicoccum fabicercianum"
"ASV498","Fungi","Ascomycota","Sordariomycetes","","","",""
"ASV500","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Pisolithus","Pisolithus arhizus"
"ASV506","Fungi","Basidiomycota","Agaricomycetes","","","",""
"ASV508","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria",""
"ASV511","Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_unidentified","Dothideomycetes_unidentified_1","Dothideomycetes_unidentified_1","Dothideomycetes_sp|SH190252.06FU"
"ASV512","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","",""
"ASV513","Fungi","","","","","",""
"ASV526","Fungi","Fungi_unidentified","Fungi_unidentified_1","Fungi_unidentified_1","Fungi_unidentified_1_1","Fungi_unidentified_1_1","Fungi_sp|SH241025.06FU"
"ASV531","Fungi","Ascomycota","Dothideomycetes","","","",""
"ASV536","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Coprinellus","Coprinellus sp 9 LGN_2011"
"ASV547","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","",""
"ASV555","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella",""
"ASV559","Fungi","Chytridiomycota","","","","",""
"ASV560","Fungi","Basidiomycota","Cystobasidiomycetes","Erythrobasidiales","Erythrobasidiales_Incertae sedis","Erythrobasidium","Sporobolomyces yunnanensis"
"ASV569","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenaceae","Aphanoascus","Aphanoascus verrucosus"
"ASV578","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","",""
"ASV582","Fungi","Ascomycota","Archaeorhizomycetes","","","",""
"ASV603","Fungi","Ascomycota","Sordariomycetes","Sordariomycetidae_Incertae sedis","Apiosporaceae","Arthrinium",""
"ASV606","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","",""
"ASV608","Fungi","Zygomycota","Mucoromycotina_Incertae sedis","Mortierellales","Mortierellaceae","Mortierella",""
"ASV620","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","",""
"ASV633","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","",""
"ASV639","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Teratosphaeriaceae","",""
"ASV644","Fungi","Chytridiomycota","Chytridiomycetes","","","",""
"ASV650","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_Incertae sedis","Myrothecium",""
"ASV656","Fungi","Ascomycota","Dothideomycetes","","","",""
"ASV660","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium",""
"ASV661","Fungi","Ascomycota","Sordariomycetes","","","",""
"ASV662","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe",""
"ASV671","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Chaetothyriales_unidentified","Chaetothyriales_unidentified_1","Chaetothyriales_sp|SH213354.06FU"
"ASV681","Fungi","Basidiomycota","Agaricomycetes","","","",""
"ASV700","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","Chaetomium jodhpurense"
"ASV710","Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_unidentified","Dothideomycetes_unidentified_1","Dothideomycetes_unidentified_1","Dothideomycetes_sp|SH232444.06FU"
"ASV716","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Mycosphaerella","Sphaerulina_pseudovirgaureae|SH212655.06FU"
"ASV724","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Hypocrea","Hypocrea orientalis"
"ASV725","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ascomycota_unidentified_1_1","Ascomycota_sp|SH207016.06FU"
"ASV732","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Incertae_sedis_13","Phoma","Phoma_sp|SH207018.06FU"
"ASV743","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium","Ceratobasidiaceae_sp|SH199622.06FU"
"ASV746","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Calyptella","Calyptella capula"
"ASV759","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariales_Incertae sedis","Phomatospora","Dinemasporium strigosum"
"ASV761","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellales_Incertae sedis","Dioszegia",""
"ASV762","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dothideomycetes_unidentified_1","Dothideomycetes_unidentified_1","Dothideomycetes_sp|SH206996.06FU"
"ASV768","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Cladorrhinum","Cladorrhinum bulbillosum"
"ASV772","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiales_unidentified","Filobasidiales_unidentified_1","Filobasidiales_sp|SH216507.06FU"
"ASV782","Fungi","Ascomycota","Sordariomycetes","Sordariomycetes_unidentified","Sordariomycetes_unidentified_1","Sordariomycetes_unidentified_1","Sordariomycetes_sp|SH213465.06FU"
"ASV789","Fungi","Ascomycota","Ascomycota_unidentified","Ascomycota_unidentified_1","Ascomycota_unidentified_1","Ascomycota_unidentified_1_1","Ascomycota_sp|SH191097.06FU"
"ASV791","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_unidentified","Capnodiales_unidentified_1","Capnodiales_sp|SH213804.06FU"
"ASV804","Fungi","Ascomycota","Sordariomycetes","","","",""
