"","domain","phylum","class","order","family","genus","species"
"ASV2535","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","Conocybe rickenii"
"ASV2547","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitopilus","Clitopilus scyphoides"
"ASV2584","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Debaryomycetaceae","Meyerozyma","Meyerozyma caribbica"
"ASV2605","Fungi","Ascomycota","","","","",""
"ASV2629","Fungi","Chytridiomycota","","","","",""
"ASV2637","Fungi","","","","","",""
"ASV2647","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Montagnulaceae","Paraphaeosphaeria","Paraphaeosphaeria michotii"
"ASV2658","Fungi","Basidiomycota","Agaricomycetes","","","",""
"ASV2665","Fungi","","","","","",""
"ASV2711","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis","Rhizophlyctis rosea"
"ASV2748","Fungi","","","","","",""
"ASV2778","Fungi","","","","","",""
"ASV2792","Fungi","","","","","",""
"ASV2796","Fungi","Ascomycota","Sordariomycetes","Xylariales","","",""
"ASV2801","Fungi","","","","","",""
"ASV2813","Fungi","","","","","",""
"ASV2855","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiaceae","Capnodium","Capnodium coffeae"
"ASV2872","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola",""
"ASV2873","Fungi","Ascomycota","","","","",""
"ASV2894","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sordariomycetes_unidentified_1","Sordariomycetes_unidentified_1","Sordariomycetes_sp|SH200621.06FU"
"ASV2927","Fungi","Ascomycota","","","","",""
"ASV2993","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_unidentified","Hypocreales_unidentified_1",""
"ASV3006","Fungi","","","","","",""
"ASV3025","Fungi","","","","","",""
"ASV3049","Fungi","","","","","",""
"ASV3062","Fungi","Zygomycota","Entomophthoromycotina_Incertae sedis","Entomophthorales","Basidiobolaceae","Basidiobolus","Basidiobolus haptosporus"
"ASV3102","Fungi","Ascomycota","Dothideomycetes","Capnodiales","","",""
"ASV3181","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Phaeosphaeriopsis","Phaeosphaeria oryzae"
"ASV3190","Fungi","Chytridiomycota","Chytridiomycota_unidentified","Chytridiomycota_unidentified_1","Chytridiomycota_unidentified_1","Chytridiomycota_unidentified_1_1","Chytridiomycota_sp|SH229534.06FU"
"ASV3199","Fungi","Chytridiomycota","","","","",""
"ASV3222","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Hypocrea","Hypocrea lixii"
"ASV3235","Fungi","Zygomycota","Mucoromycotina_Incertae sedis","Mortierellales","Mortierellaceae","Mortierella",""
"ASV3274","Fungi","Zygomycota","Entomophthoromycotina_Incertae sedis","Entomophthorales","Basidiobolaceae","Basidiobolus","Basidiobolus magnus"
"ASV3310","Fungi","Basidiomycota","","","","",""
"ASV3329","Fungi","Basidiomycota","Agaricomycetes","","","",""
"ASV3378","Fungi","","","","","",""
"ASV3392","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Volvariella",""
"ASV3405","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Incertae_sedis_12","Cryptococcus_1","Cryptococcus_sp|SH226566.06FU"
"ASV3458","Fungi","","","","","",""
"ASV3468","Fungi","","","","","",""
"ASV3474","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Tulasnellaceae","Tulasnellaceae_unidentified","Tulasnellaceae_sp|SH203545.06FU"
"ASV3596","Fungi","Ascomycota","Dothideomycetes","Dothideales","Dothioraceae","Kabatiella","Kabatiella bupleuri"
"ASV3613","Fungi","","","","","",""
"ASV3624","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Pseudozyma","Pseudozyma_sp_Vega417|SH241684.06FU"
"ASV3626","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Steccherinaceae","Irpex","Irpex lacteus"
"ASV3637","Fungi","","","","","",""
"ASV3652","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Micronematobotrys","Micronematobotrys_sp|SH234092.06FU"
"ASV3798","Fungi","","","","","",""
"ASV3827","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","",""
"ASV3841","Fungi","Chytridiomycota","Chytridiomycetes","Rhizophlyctidales","Rhizophlyctidaceae","Rhizophlyctis",""
"ASV3882","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Capnodiales_unidentified","Capnodiales_unidentified_1",""
"ASV3909","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Pichiaceae","Pichia","Pichia jadinii"
"ASV3943","Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Agaricostilbaceae","Bensingtonia","Bensingtonia phyllada"
"ASV3981","Fungi","Ascomycota","Sordariomycetes","","","",""
"ASV3992","Fungi","","","","","",""
"ASV4010","Fungi","","","","","",""
"ASV4054","Fungi","","","","","",""
"ASV4064","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellales_Incertae sedis","Dioszegia",""
"ASV4079","Fungi","","","","","",""
"ASV4101","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_unidentified","Pleosporales_unidentified_1","Pleosporales_sp|SH238736.06FU"
"ASV4143","Fungi","","","","","",""
"ASV4181","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Thanatephorus","Thanatephorus_cucumeris|SH208775.06FU"
"ASV4216","Fungi","Chytridiomycota","","","","",""
"ASV4256","Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Arthrobotrys",""
"ASV4281","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Fomes","Fomes fasciatus"
"ASV4300","Fungi","Basidiomycota","Microbotryomycetes","Microbotryales","Microbotryaceae","Sphacelotheca","Sporisorium reilianum"
"ASV4318","Fungi","Ascomycota","Orbiliomycetes","Orbiliomycetes_unidentified","Orbiliomycetes_unidentified_1","Orbiliomycetes_unidentified_1","Orbiliomycetes_sp|SH234045.06FU"
"ASV4339","Fungi","Chytridiomycota","","","","",""
"ASV4399","Fungi","Chytridiomycota","","","","",""
"ASV4400","Fungi","Fungi_unidentified","Fungi_unidentified_1","Fungi_unidentified_1","Fungi_unidentified_1_1","Fungi_unidentified_1_1","Fungi_sp|SH239608.06FU"
"ASV4412","Fungi","","","","","",""
"ASV4561","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella",""
"ASV4586","Fungi","","","","","",""
"ASV4596","Fungi","","","","","",""
"ASV4641","Fungi","Ascomycota","","","","",""
"ASV4661","Fungi","","","","","",""
"ASV4713","Fungi","Chytridiomycota","","","","",""
"ASV4747","Fungi","Chytridiomycota","Chytridiomycetes","Spizellomycetales","Spizellomycetaceae","",""
"ASV4769","Fungi","Ascomycota","Sordariomycetes","","","",""
"ASV4805","Fungi","Ascomycota","","","","",""
"ASV4814","Fungi","","","","","",""
"ASV4844","Fungi","","","","","",""
"ASV4890","Fungi","Ascomycota","Sordariomycetes","Sordariales","","",""
"ASV4912","Fungi","Ascomycota","","","","",""
"ASV4927","Fungi","","","","","",""
"ASV5011","Fungi","Basidiomycota","Cystobasidiomycetes","Erythrobasidiales","Erythrobasidiales_Incertae sedis","Erythrobasidium","Sporobolomyces yunnanensis"
"ASV5049","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetales_Incertae sedis","Candida","Candida parapsilosis"
"ASV5117","Fungi","","","","","",""
"ASV5192","Fungi","Basidiomycota","Agaricomycetes","Agaricales","","",""
"ASV5229","Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora","Peniophora incarnata"
"ASV5230","Fungi","Basidiomycota","Agaricomycetes","Auriculariales","","",""
"ASV5298","Fungi","","","","","",""
"ASV5367","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Phaeomoniella","Phaeomoniella sp HBL2005a"
"ASV5435","Fungi","Ascomycota","","","","",""
"ASV5445","Fungi","","","","","",""
"ASV5467","Fungi","","","","","",""
"ASV5477","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Dothideomycetes_unidentified_1","Dothideomycetes_unidentified_1","Dothideomycetes_sp|SH217123.06FU"
"ASV5488","Fungi","","","","","",""
"ASV5499","Fungi","Chytridiomycota","","","","",""
"ASV5516","Fungi","Ascomycota","Orbiliomycetes","Orbiliomycetes_unidentified","Orbiliomycetes_unidentified_1","Orbiliomycetes_unidentified_1","Orbiliomycetes_sp|SH234045.06FU"
"ASV5577","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Ascomycota_unidentified_1","Ascomycota_unidentified_1_1","Ascomycota_sp|SH211028.06FU"
"ASV5590","Fungi","Ascomycota","Lecanoromycetes","Teloschistales","Teloschistaceae","Xanthomendoza","Xanthomendoza weberi"
"ASV5634","Fungi","Ascomycota","Dothideomycetes","","","",""
"ASV5661","Fungi","Ascomycota","Sordariomycetes","","","",""
"ASV5675","Fungi","","","","","",""
"ASV5721","Fungi","Ascomycota","","","","",""
"ASV5768","Fungi","Ascomycota","","","","",""
"ASV5779","Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora","Peniophoraceae_sp|SH234601.06FU"
"ASV5808","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Paecilomyces","Paecilomyces carneus"
"ASV5911","Fungi","","","","","",""
"ASV5933","Fungi","","","","","",""
"ASV5946","Fungi","","","","","",""
"ASV5973","Fungi","Chytridiomycota","","","","",""
"ASV5981","Fungi","Basidiomycota","Agaricomycetes","","","",""
"ASV5994","Fungi","Ascomycota","Orbiliomycetes","Orbiliomycetes_unidentified","Orbiliomycetes_unidentified_1","Orbiliomycetes_unidentified_1","Orbiliomycetes_sp|SH234045.06FU"
"ASV6003","Fungi","","","","","",""
"ASV6004","Fungi","","","","","",""
"ASV6006","Fungi","Fungi_unidentified","Fungi_unidentified_1","Fungi_unidentified_1","Fungi_unidentified_1_1","Fungi_unidentified_1_1","Fungi_sp|SH239608.06FU"
"ASV6008","Fungi","","","","","",""
"ASV6011","Fungi","","","","","",""
"ASV6014","Fungi","","","","","",""
"ASV6015","Fungi","","","","","",""
"ASV6016","Fungi","","","","","",""
"ASV6021","Fungi","","","","","",""
"ASV6022","Fungi","Ascomycota","","","","",""
"ASV6024","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus paraflavus"
"ASV6025","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Parasola",""
"ASV6030","Fungi","","","","","",""
"ASV6031","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Pyronema","Pyronema domesticum"
"ASV6032","Fungi","Ascomycota","","","","",""
"ASV6034","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium","Ceratobasidiaceae_sp|SH200581.06FU"
"ASV6037","Fungi","Ascomycota","Fungi_unidentified_1","Fungi_unidentified_1","Fungi_unidentified_1_1","Fungi_unidentified_1_1","Fungi_sp|SH241790.06FU"
"ASV6039","Fungi","","","","","",""
"ASV6044","Fungi","Ascomycota","Lecanoromycetes","","","",""
"ASV6049","Fungi","Basidiomycota","Tremellomycetes","Tremellales","","",""
"ASV6052","Fungi","Chytridiomycota","","","","",""
"ASV6061","Fungi","Fungi_unidentified","Fungi_unidentified_1","Fungi_unidentified_1","Fungi_unidentified_1_1","Fungi_unidentified_1_1","Fungi_sp|SH239973.06FU"
"ASV6062","Fungi","","","","","",""
"ASV6064","Fungi","","","","","",""
"ASV6068","Fungi","Ascomycota","","","","",""
"ASV6079","Fungi","","","","","",""
"ASV6081","Fungi","","","","","",""
"ASV6082","Fungi","Ascomycota","","","","",""
"ASV6086","Fungi","","","","","",""
"ASV6087","Fungi","Chytridiomycota","Chytridiomycota_unidentified","Chytridiomycota_unidentified_1","Chytridiomycota_unidentified_1","Chytridiomycota_unidentified_1_1",""
"ASV6090","Fungi","","","","","",""
"ASV6096","Fungi","Chytridiomycota","","","","",""
"ASV6099","Fungi","Ascomycota","","","","",""
"ASV6101","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporales_unidentified","Pleosporales_unidentified_1","Pleosporales_sp|SH231992.06FU"
"ASV6111","Fungi","Chytridiomycota","Chytridiomycetes","Olpidiales","Olpidiaceae","Olpidium","Olpidium_brassicae|SH214989.06FU"
"ASV6112","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","Clitopilus","Clitopilus_sp|SH205036.06FU"
"ASV6113","Fungi","","","","","",""
"ASV6119","Fungi","Chytridiomycota","Chytridiomycetes","Spizellomycetales","Spizellomycetaceae","Spizellomyces",""
"ASV6121","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Polyporus","Polyporus arcularius"
"ASV6122","Fungi","","","","","",""
"ASV6123","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Phanerochaete","Phanerochaete_sp|SH202349.06FU"
"ASV6124","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Polyporus","Polyporus arcularius"
"ASV6125","Fungi","","","","","",""
"ASV6128","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Incertae_sedis_12","Cryptococcus_1","Cryptococcus_aff_taibaiensis_IMUFRJ_51982|SH198061.06FU"
"ASV6129","Fungi","Basidiomycota","Wallemiomycetes","Wallemiales","Wallemiaceae","Wallemia","Wallemia sebi"
"ASV6130","Fungi","Zygomycota","Mucoromycotina_Incertae sedis","Mortierellales","Mortierellaceae","Mortierella",""
"ASV6131","Fungi","Ascomycota","","","","",""
"ASV6133","Fungi","Basidiomycota","Agaricomycetes","","","",""
"ASV6137","Fungi","","","","","",""
"ASV6141","Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora","Podospora intestinacea"
"ASV6143","Fungi","","","","","",""
"ASV6145","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia",""
"ASV6147","Fungi","Chytridiomycota","Chytridiomycetes","Spizellomycetales","Spizellomycetaceae","Powellomyces","Powellomyces_sp_EA|SH206807.06FU"
"ASV6150","Fungi","","","","","",""
"ASV6152","Fungi","Basidiomycota","Ustilaginomycotina_Incertae sedis","Malasseziales","Malasseziales_Incertae sedis","Malassezia","Malassezia globosa"
"ASV6154","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Phanerochaetaceae","Polyporales_unidentified_1","Polyporales_sp|SH214762.06FU"
"ASV6156","Fungi","Ascomycota","Pezizomycotina_Incertae sedis","Pezizomycotina_Incertae sedis","Pezizomycotina_Incertae sedis","Torula","Torula caligans"
"ASV6158","Fungi","","","","","",""
"ASV6159","Fungi","","","","","",""
"ASV6160","Fungi","Ascomycota","","","","",""
"ASV6163","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Fomes","Fomes fasciatus"
"ASV6169","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Clavulinaceae","Clavulina",""
"ASV6171","Fungi","","","","","",""
"ASV6183","Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","",""
"ASV6186","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","Lophiostoma_sp|SH217127.06FU"
"ASV6188","Fungi","Ascomycota","Dothideomycetes","Dothideomycetes_unidentified","Dothideomycetes_unidentified_1","Dothideomycetes_unidentified_1",""
"ASV6191","Fungi","Ascomycota","","","","",""
"ASV6193","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","",""
"ASV6197","Fungi","Ascomycota","","","","",""
"ASV6199","Fungi","","","","","",""
"ASV6200","Fungi","","","","","",""
"ASV6203","Fungi","","","","","",""
"ASV6205","Fungi","","","","","",""
"ASV6209","Fungi","","","","","",""
"ASV6210","Fungi","Basidiomycota","Agaricomycetes","Boletales","Sclerodermataceae","Astraeus","Astraeus pteridis"
"ASV6213","Fungi","Ascomycota","Sordariomycetes","","","",""
"ASV6214","Fungi","","","","","",""
"ASV6219","Fungi","","","","","",""
"ASV6220","Fungi","Zygomycota","Mucoromycotina_Incertae sedis","Mortierellales","Mortierellaceae","Mortierella",""
"ASV6227","Fungi","","","","","",""
"ASV6228","Fungi","Ascomycota","Orbiliomycetes","","","",""
"ASV6230","Fungi","","","","","",""
"ASV6231","Fungi","","","","","",""
"ASV6234","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Pluteaceae","Pluteus","Pluteus longistriatus"
"ASV6239","Fungi","","","","","",""
"ASV6242","Fungi","Basidiomycota","Agaricomycetes","","","",""
"ASV6246","Fungi","Ascomycota","Pezizomycotina_Incertae sedis","Pezizomycotina_Incertae sedis","Pezizomycotina_Incertae sedis","Ochroconis","Ochroconis sp KL_2011b"
"ASV6247","Fungi","","","","","",""
"ASV6250","Fungi","","","","","",""
"ASV6251","Fungi","Basidiomycota","Agaricomycetes","Geastrales","Geastraceae","Geastrum",""
"ASV6252","Fungi","","","","","",""
"ASV6253","Fungi","Chytridiomycota","","","","",""
"ASV6255","Fungi","","","","","",""
"ASV6257","Fungi","Basidiomycota","Agaricomycetes","","","",""
"ASV6258","Fungi","Basidiomycota","","","","",""
"ASV6265","Fungi","Chytridiomycota","","","","",""
"ASV6266","Fungi","","","","","",""
"ASV6269","Fungi","","","","","",""
"ASV6270","Fungi","","","","","",""
"ASV6271","Fungi","","","","","",""
"ASV6272","Fungi","","","","","",""
"ASV6273","Fungi","","","","","",""
"ASV6276","Fungi","","","","","",""
"ASV6280","Fungi","Chytridiomycota","","","","",""
"ASV6282","Fungi","","","","","",""
"ASV6283","Fungi","","","","","",""
"ASV6286","Fungi","Ascomycota","","","","",""
"ASV6289","Fungi","","","","","",""
"ASV6292","Fungi","Chytridiomycota","Chytridiomycetes","","","",""
"ASV6294","Fungi","","","","","",""
"ASV6296","Fungi","","","","","",""
"ASV6298","Fungi","Fungi_unidentified","Fungi_unidentified_1","Fungi_unidentified_1","Fungi_unidentified_1_1","Fungi_unidentified_1_1","Fungi_sp|SH239595.06FU"
"ASV6300","Fungi","","","","","",""
"ASV6301","Fungi","Ascomycota","","","","",""
"ASV6302","Fungi","","","","","",""
"ASV6306","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","",""
"ASV6309","Fungi","","","","","",""
"ASV6314","Fungi","","","","","",""
"ASV6316","Fungi","Ascomycota","Fungi_unidentified_1","Fungi_unidentified_1","Fungi_unidentified_1_1","Fungi_unidentified_1_1","Fungi_sp|SH213995.06FU"
"ASV6323","Fungi","","","","","",""
"ASV6334","Fungi","","","","","",""
"ASV6337","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Lipomycetaceae","Lipomyces",""
"ASV6342","Fungi","","","","","",""
"ASV6344","Fungi","","","","","",""
"ASV6345","Fungi","","","","","",""
"ASV6346","Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Amphisphaeriaceae_unidentified",""
"ASV6349","Fungi","","","","","",""
